"filename", "language", "TypeScript", "JavaScript", "JSON with Comments", "HTML", "JSON", "Markdown", "Vue", "Properties", "SCSS", "comment", "blank", "total"
"c:\Projekter\[Visualisering]\[V2]\SnegleRæsMultiplayer\client\.eslintrc.cjs", "JavaScript", 0, 13, 0, 0, 0, 0, 0, 0, 0, 1, 2, 16
"c:\Projekter\[Visualisering]\[V2]\SnegleRæsMultiplayer\client\.prettierrc.json", "JSON", 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 8
"c:\Projekter\[Visualisering]\[V2]\SnegleRæsMultiplayer\client\README.md", "Markdown", 0, 0, 0, 0, 0, 29, 0, 0, 0, 0, 18, 47
"c:\Projekter\[Visualisering]\[V2]\SnegleRæsMultiplayer\client\env.d.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 2
"c:\Projekter\[Visualisering]\[V2]\SnegleRæsMultiplayer\client\index.html", "HTML", 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 1, 14
"c:\Projekter\[Visualisering]\[V2]\SnegleRæsMultiplayer\client\package-lock.json", "JSON", 0, 0, 0, 0, 3334, 0, 0, 0, 0, 0, 1, 3335
"c:\Projekter\[Visualisering]\[V2]\SnegleRæsMultiplayer\client\package.json", "JSON", 0, 0, 0, 0, 39, 0, 0, 0, 0, 0, 1, 40
"c:\Projekter\[Visualisering]\[V2]\SnegleRæsMultiplayer\client\src\App.vue", "Vue", 0, 0, 0, 0, 0, 0, 61, 0, 0, 0, 16, 77
"c:\Projekter\[Visualisering]\[V2]\SnegleRæsMultiplayer\client\src\assets\scss\css-reset.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 10, 0, 2, 12
"c:\Projekter\[Visualisering]\[V2]\SnegleRæsMultiplayer\client\src\assets\scss\global.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 3
"c:\Projekter\[Visualisering]\[V2]\SnegleRæsMultiplayer\client\src\assets\scss\variables.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 2, 7
"c:\Projekter\[Visualisering]\[V2]\SnegleRæsMultiplayer\client\src\components\HeaderComponent.vue", "Vue", 0, 0, 0, 0, 0, 0, 54, 0, 0, 0, 10, 64
"c:\Projekter\[Visualisering]\[V2]\SnegleRæsMultiplayer\client\src\main.ts", "TypeScript", 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 14
"c:\Projekter\[Visualisering]\[V2]\SnegleRæsMultiplayer\client\src\router\index.ts", "TypeScript", 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 26
"c:\Projekter\[Visualisering]\[V2]\SnegleRæsMultiplayer\client\src\stores\useIsIngameStore.ts", "TypeScript", 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 19
